Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,35-44 years,15,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,45-54 years,56,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,55-64 years,115,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,65-74 years,198,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,75-84 years,259,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,85 years and over,266,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,All ages,919,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,45-54 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,55-64 years,41,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,65-74 years,115,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,75-84 years,200,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,85 years and over,342,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Female,All ages,724,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado Total,All,All Ages,1643,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,35-44 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,45-54 years,69,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,55-64 years,213,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,65-74 years,429,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,75-84 years,538,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,85 years and over,675,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Male,All ages,1950,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,45-54 years,26,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,55-64 years,109,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,65-74 years,273,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,75-84 years,521,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,85 years and over,1138,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Female,All ages,2081,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Connecticut Total,All,All Ages,4031,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,45-54 years,10,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,55-64 years,29,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,65-74 years,66,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,75-84 years,67,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,85 years and over,63,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Male,All ages,242,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Delaware,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
