Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
12518,13169,2020-05-15,651,0.0494,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
19211,20129,2020-06-01,918,0.0456,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
35641,36844,2020-06-15,1203,0.0327,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
82380,84105,2020-07-01,1725,0.0205,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
128920,131354,2020-07-15,2434,0.0185,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
16,16,2020-03-15,0,0.0,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
574,584,2020-04-01,10,0.0171,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
1536,1569,2020-04-15,33,0.021,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
3273,3337,2020-05-01,64,0.0192,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
4365,4463,2020-05-15,98,0.022000000000000002,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
7310,7443,2020-06-01,133,0.0179,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
12735,12917,2020-06-15,182,0.0141,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
20920,21197,2020-07-01,277,0.0131,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
29962,30297,2020-07-15,335,0.0111,0,Arkansas,AR,49590.60000000003,2977621.0,60.0440607695813,25666.556534226485,40574.0
414,426,2020-03-15,6,0.0141,6,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
9200,9399,2020-04-01,199,0.0212,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
25826,26686,2020-04-15,860,0.0322,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
49900,52026,2020-05-01,2126,0.0409,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
73557,76693,2020-05-15,3136,0.0409,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
110516,114733,2020-06-01,4217,0.0368,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
150612,155726,2020-06-15,5114,0.0328,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
232512,238681,2020-07-01,6169,0.0258,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
